time,volume,open,low,high,close,t_plus,longs,shorts,entry,returns,holding,direction
2017-12-01 00:00:00,5955.24423,428.05,416.39,432.11,426.01,427.27,0,0,0,0.0,0,0
2017-12-01 04:00:00,4659.11383,427.27,413.74,432.93,418.8,419.81,0,0,0,0.0,0,0
2017-12-01 08:00:00,6058.57783,419.81,418.73,437.34,433.0,433.16,0,0,0,0.0,0,0
2017-12-01 12:00:00,9289.90114,433.16,433.0,457.83,446.66,448.23,0,0,0,0.0,0,0
2017-12-01 16:00:00,3693.63831,448.23,443.73,456.0,454.58,454.58,0,0,0,0.0,0,0
2017-12-01 20:00:00,3415.74461,454.58,451.0,465.97,457.51,457.53,0,0,0,0.0,0,0
2017-12-02 00:00:00,5976.99061,457.53,457.0,469.75,460.8,460.8,0,0,0,0.0,0,0
2017-12-02 04:00:00,4541.36135,460.8,448.01,466.0,463.55,463.54,0,0,0,0.0,0,0
2017-12-02 08:00:00,6593.26296,463.54,455.0,471.91,459.33,459.93,0,0,0,0.0,0,0
2017-12-02 12:00:00,4318.08841,459.93,445.0,465.0,450.01,450.02,0,0,0,0.0,0,0
2017-12-02 16:00:00,2564.45986,450.02,448.9,462.98,457.7,458.35,0,0,0,0.0,0,0
2017-12-02 20:00:00,1801.9768100000001,458.35,456.3,461.16,457.63,457.31,0,0,0,0.0,0,0
2017-12-03 00:00:00,3085.89787,457.31,452.65,462.5,456.29,456.31,0,0,0,0.0,0,0
2017-12-03 04:00:00,2947.08839,456.31,456.0,466.99,466.54,466.32,0,0,0,0.0,0,0
2017-12-03 08:00:00,4167.77501,466.32,463.39,479.47,477.68,478.13,0,0,0,0.0,0,0
2017-12-03 12:00:00,5155.45808,478.13,473.0,485.9,475.99,475.99,1,0,1,0.0,0,0
2017-12-03 16:00:00,3321.87469,475.99,473.47,481.1,479.25,479.25,0,0,0,0.0,0,0
2017-12-03 20:00:00,5811.96593,479.25,440.11,480.64,460.3,460.3,0,0,0,-0.03296287737137338,1,1
2017-12-04 00:00:00,4632.33313,460.3,456.5,465.97,462.03,462.17,0,0,0,0.0,0,0
2017-12-04 04:00:00,2949.95316,462.17,460.0,469.57,468.79,468.69,0,0,0,0.0,0,0
2017-12-04 08:00:00,3358.70978,468.69,452.0,470.98,453.11,453.74,0,0,0,0.0,0,0
2017-12-04 12:00:00,5229.40102,453.74,445.0,464.25,459.51,459.5,0,0,0,0.0,0,0
2017-12-04 16:00:00,3467.26468,459.5,447.5,460.02,454.48,454.48,0,0,0,0.0,0,0
2017-12-04 20:00:00,3544.99772,454.48,454.48,466.97,466.67,466.66,0,0,0,0.0,0,0
2017-12-05 00:00:00,3900.66282,466.66,460.42,468.67,464.5,464.63,0,0,0,0.0,0,0
2017-12-05 04:00:00,3750.46812,464.63,460.0,467.58,465.99,465.98,0,0,0,0.0,0,0
2017-12-05 08:00:00,4558.76055,465.98,456.0,467.64,460.04,461.55,0,0,0,0.0,0,0
2017-12-05 12:00:00,5209.45907,461.55,450.02,461.55,455.71,456.19,0,0,0,0.0,0,0
2017-12-05 16:00:00,4691.70273,456.19,445.21,459.89,454.98,454.99,0,0,0,0.0,0,0
2017-12-05 20:00:00,3276.06366,454.99,452.01,462.0,452.26,452.26,0,0,0,0.0,0,0
2017-12-06 00:00:00,6270.26351,452.26,436.0,455.1,445.23,445.27,0,0,0,0.0,0,0
2017-12-06 04:00:00,6086.32137,445.27,437.01,448.52,444.43,444.44,0,0,0,0.0,0,0
2017-12-06 08:00:00,8104.34479,444.44,421.0,448.0,435.61,437.0,0,0,0,0.0,0,0
2017-12-06 12:00:00,7294.3954,437.0,409.99,444.19,420.45,420.62,0,0,0,0.0,0,0
2017-12-06 16:00:00,5236.86773,420.62,410.91,434.6,423.13,423.13,0,0,0,0.0,0,0
2017-12-06 20:00:00,5646.56756,423.13,400.0,424.0,411.01,413.5,0,0,0,0.0,0,0
2017-12-07 00:00:00,8218.25196,413.5,401.0,425.99,421.98,421.98,0,0,0,0.0,0,0
2017-12-07 04:00:00,5115.95374,421.98,415.11,427.61,421.02,422.62,0,0,0,0.0,0,0
2017-12-07 08:00:00,8034.22866,422.62,391.0,425.61,401.9,401.9,0,0,0,0.0,0,0
2017-12-07 12:00:00,7575.37837,401.9,396.0,419.99,396.51,396.52,0,0,0,0.0,0,0
2017-12-07 16:00:00,7927.40838,396.52,375.01,406.0,405.25,405.61,0,0,0,0.0,0,0
2017-12-07 20:00:00,4472.51158,405.61,390.0,417.0,406.33,406.52,0,0,0,0.0,0,0
2017-12-08 00:00:00,9700.37664,406.52,390.0,422.95,416.16,416.17,0,0,0,0.0,0,0
2017-12-08 04:00:00,8563.40729,416.17,404.01,419.54,412.21,412.21,0,0,0,0.0,0,0
2017-12-08 08:00:00,7342.11404,412.21,407.75,454.2,434.87,434.87,0,0,0,0.0,0,0
2017-12-08 12:00:00,6593.09194,434.87,427.0,449.9,436.85,436.85,0,0,0,0.0,0,0
2017-12-08 16:00:00,5315.972,436.85,433.28,456.78,441.92,441.92,0,0,0,0.0,0,0
2017-12-08 20:00:00,3549.64114,441.92,439.0,448.92,442.56,442.56,0,0,0,0.0,0,0
2017-12-09 00:00:00,5090.48073,442.56,440.6,461.97,458.99,458.99,0,0,0,0.0,0,0
2017-12-09 04:00:00,6456.14183,458.99,455.0,479.52,473.0,473.0,0,0,0,0.0,0,0
2017-12-09 08:00:00,7506.35014,473.0,457.0,487.0,460.0,461.0,1,0,1,0.0,0,0
2017-12-09 12:00:00,4759.73289,461.0,458.56,475.06,474.05,474.05,0,0,0,0.02830802603036875,0,1
2017-12-09 16:00:00,13174.90169,474.05,426.4,488.0,454.19,453.14,0,0,0,0.0,0,0
